Data de Confirmação;Casos Confirmados;Novas notificações;Recuperados;Em quarentena;Óbitos;Enfermaria;UTI;Suspeitos;Novos óbitos
15/06/2020;561;0;424;130;7;9;8;115;0
16/06/2020;609;48;446;156;7;8;8;87;0
17/06/2020;635;26;477;151;7;12;10;100;0
18/06/2020;670;35;497;165;8;12;9;120;1
19/06/2020;686;16;522;156;8;12;10;120;0
20/06/2020;710;24;553;149;8;17;9;124;0
21/06/2020;736;26;567;159;10;16;8;123;2
22/06/2020;736;0;581;145;10;9;7;180;0
23/06/2020;763;27;619;134;10;9;11;120;0
24/06/2020;789;26;656;123;10;12;11;120;0
25/06/2020;824;35;684;129;11;14;10;120;1
26/06/2020;861;37;691;159;11;16;9;120;0
27/06/2020;897;36;714;172;11;17;9;203;0
28/06/2020;922;25;743;168;11;20;9;203;0
29/06/2020;922;0;764;147;11;18;10;246;0
30/06/2020;954;32;803;139;12;16;9;268;1
01/07/2020;988;34;819;157;12;18;7;276;0
02/07/2020;1023;35;841;169;13;27;5;156;1
03/07/2020;1041;18;853;175;13;34;3;142;0
04/07/2020;1065;24;902;149;14;32;2;160;1
05/07/2020;1093;28;926;153;14;31;3;80;0
06/07/2020;1093;0;988;91;14;25;3;96;0
07/07/2020;1109;16;976;119;14;27;3;122;0
08/07/2020;1140;31;1000;125;15;26;2;128;1
09/07/2020;1180;40;1031;134;15;27;3;140;0
10/07/2020;1197;17;1058;124;15;34;2;140;0
11/07/2020;1225;28;1092;118;15;37;3;170;0
12/07/2020;1251;26;1101;135;15;33;5;160;0
13/07/2020;1251;0;1118;118;15;26;4;184;0
14/07/2020;1276;25;1139;122;15;23;5;172;0
15/07/2020;1314;38;1164;135;15;20;6;222;0
16/07/2020;1355;41;1208;132;15;16;10;222;0
17/07/2020;1398;43;1265;118;15;25;8;198;0
18/07/2020;1429;31;1268;146;15;28;8;280;0
19/07/2020;1450;21;1280;155;15;20;10;330;0
20/07/2020;1450;0;1287;148;15;22;10;270;0
21/07/2020;1481;31;1319;147;15;18;11;398;0
22/07/2020;1500;19;1320;165;15;20;7;398;0
23/07/2020;1536;36;1351;169;16;22;9;341;1
24/07/2020;1604;68;1368;220;16;20;8;346;0
25/07/2020;1660;56;1406;238;16;17;8;235;0
26/07/2020;1706;46;1471;219;16;13;6;232;0
27/07/2020;1706;0;1497;193;16;13;8;232;0
28/07/2020;1742;36;1553;173;16;17;9;253;0
29/07/2020;1791;49;1597;176;18;27;11;244;2
30/07/2020;1831;40;1629;183;19;31;9;244;1
31/07/2020;1884;53;1642;223;19;25;11;249;0
01/08/2020;1918;34;1698;201;19;30;11;389;0
02/08/2020;1999;81;1741;239;19;30;12;233;0
03/08/2020;1999;0;1753;227;19;23;12;233;0
04/08/2020;2054;55;1803;232;19;34;10;247;0
05/08/2020;2125;71;1855;250;20;37;13;230;1
06/08/2020;2173;48;1890;263;20;39;13;237;0
07/08/2020;2222;49;1928;274;20;37;9;188;0
08/08/2020;2287;65;1990;277;20;48;9;188;0
09/08/2020;2339;52;2031;287;21;48;9;105;1
10/08/2020;2339;0;2066;252;21;37;10;280;0
11/08/2020;2379;40;2107;251;21;39;12;233;0
12/08/2020;2432;53;2143;267;22;33;12;227;1
13/08/2020;2493;61;2181;290;22;38;12;295;0
14/08/2020;2542;49;2229;291;22;45;13;254;0
15/08/2020;2611;69;2285;304;22;42;12;390;0
16/08/2020;2659;48;2328;309;22;44;10;358;0
17/08/2020;2668;9;2347;299;22;37;11;315;0
18/08/2020;2710;42;2380;307;23;29;11;287;1
19/08/2020;2756;46;2474;257;25;37;9;345;2
20/08/2020;2793;37;2481;287;25;34;9;316;0
21/08/2020;2829;36;2537;267;25;35;11;312;0
22/08/2020;2868;39;2595;247;26;38;10;208;1
23/08/2020;2901;33;2640;235;26;31;9;221;0
24/08/2020;2901;0;2641;233;27;28;13;284;1
25/08/2020;2949;48;2705;217;27;32;13;236;0
26/08/2020;2999;50;2766;205;28;30;18;215;1
27/08/2020;3067;68;2816;223;28;32;18;196;0
28/08/2020;3117;50;2860;229;28;40;18;197;0
29/08/2020;3154;37;2889;236;29;34;15;197;1
30/08/2020;3192;38;2921;241;30;31;15;186;1
31/08/2020;3202;10;2953;219;30;32;14;203;0
01/09/2020;3244;42;2987;226;31;29;15;120;1
02/09/2020;3282;38;3041;209;32;27;15;100;1
03/09/2020;3319;37;3088;199;32;29;14;116;0
04/09/2020;3357;38;3115;210;32;27;15;120;0
05/09/2020;3396;39;3177;187;32;29;17;154;0
06/09/2020;3435;39;3192;210;33;29;14;99;1
07/09/2020;3468;33;3195;240;33;26;15;78;0
08/09/2020;3493;25;3315;145;33;28;17;91;0
09/09/2020;3524;31;3349;142;33;22;20;115;0
10/09/2020;3550;26;3386;131;33;32;20;125;0
11/09/2020;3587;37;3415;137;35;27;16;142;2
12/09/2020;3623;36;3471;115;37;32;17;201;2
13/09/2020;3662;39;3509;114;39;32;17;243;2
14/09/2020;3685;23;3538;106;41;38;16;210;2
15/09/2020;3751;66;3584;126;41;42;14;196;0
16/09/2020;3787;36;3627;119;41;42;17;123;0
17/09/2020;3835;48;3670;123;42;42;15;118;1
18/09/2020;3863;28;3682;139;42;41;16;144;0
19/09/2020;3898;35;3726;129;43;48;13;132;1
20/09/2020;3926;28;3755;128;43;43;14;121;0
21/09/2020;3952;26;3786;122;44;42;12;175;1
22/09/2020;4001;49;3841;115;45;39;10;124;1
23/09/2020;4047;46;3874;128;45;36;10;146;0
24/09/2020;4082;35;3919;117;46;30;12;168;1
25/09/2020;4138;56;3969;123;46;30;12;155;0
26/09/2020;4198;60;3999;153;46;32;10;160;0
27/09/2020;4237;39;4029;162;46;26;13;166;0
28/09/2020;4263;26;4055;162;46;23;13;182;0
29/09/2020;4334;71;4098;190;46;22;13;157;0
30/09/2020;4381;47;4165;169;47;27;9;220;1
01/10/2020;4428;47;4215;165;48;27;7;259;1
02/10/2020;4485;57;4272;165;48;35;5;152;0
03/10/2020;4543;58;4335;160;48;33;6;155;0
04/10/2020;4597;54;4378;171;48;33;6;114;0
05/10/2020;4633;36;4415;169;49;33;7;134;1
06/10/2020;4679;46;4471;159;49;35;9;147;0
07/10/2020;4725;46;4506;169;50;34;9;141;1
08/10/2020;4768;43;4547;170;51;28;12;200;1
09/10/2020;4809;41;4595;163;51;37;11;206;0
10/10/2020;4877;68;4642;184;51;36;15;195;0
11/10/2020;4925;48;4688;185;52;32;12;112;1
12/10/2020;4959;34;4711;193;55;30;11;120;3
13/10/2020;5003;44;4786;162;55;31;8;147;0
14/10/2020;5037;34;4815;166;56;32;7;162;1
15/10/2020;5077;40;4851;168;58;31;6;178;2
16/10/2020;5130;53;4849;222;59;27;3;149;1
17/10/2020;5151;21;4897;194;60;25;2;150;1
18/10/2020;5180;29;4926;193;61;21;4;112;1
19/10/2020;5202;22;4979;161;62;16;7;120;1
20/10/2020;5231;29;5019;150;62;16;7;123;0
21/10/2020;5264;33;5023;178;63;11;7;115;1
22/10/2020;5295;31;5076;156;63;18;7;160;0
23/10/2020;5324;29;5088;173;63;15;10;147;0
24/10/2020;5349;25;5147;139;63;23;9;162;0
25/10/2020;5373;24;5149;161;63;8;8;109;0
26/10/2020;5413;40;5203;147;63;20;9;141;0
27/10/2020;5438;25;5227;148;63;21;10;152;0
28/10/2020;5459;21;5267;129;63;27;8;181;0
29/10/2020;5500;41;5304;133;63;33;7;258;0
30/10/2020;5553;53;5343;146;64;36;6;142;1
31/10/2020;5566;13;5355;147;64;32;7;235;0
01/11/2020;5597;31;5403;130;64;29;9;71;0
02/11/2020;5618;21;5428;126;64;26;11;68;0
03/11/2020;5634;16;5443;127;64;21;12;88;0
